price_eth,price_usd,transaction_date,seller_address,background,eyes,mouth,clothes
0.0169,22.320857419506623,2022-09-25T01:21:23,543,5,0,16,23
0.0169,22.320857419506623,2022-09-25T01:22:11,543,7,10,13,23
0.0015,1.9811411910804697,2022-09-25T01:22:11,266,4,9,17,5
0.1,132.07607940536465,2022-09-25T01:22:11,200,23,8,10,8
0.008,10.56608635242917,2022-09-25T01:22:47,681,23,5,9,16
0.0169,22.320857419506623,2022-09-25T01:22:59,543,7,9,11,9
0.015,19.811411910804697,2022-09-25T01:23:35,161,0,0,0,16
0.038,50.18891017403856,2022-09-25T01:23:35,966,15,0,0,16
0.0065,8.584945161348701,2022-09-25T01:24:11,509,3,15,14,0
0.0169,22.320857419506623,2022-09-25T01:24:11,543,5,6,16,23
0.012,15.849129528643758,2022-09-25T01:24:47,829,0,10,17,5
0.0019,2.509445508701928,2022-09-25T01:25:47,924,1,10,17,14
0.089,117.54771067077452,2022-09-25T01:25:59,446,18,0,0,0
0.0,0.0,2022-09-25T01:27:11,367,15,7,0,0
0.128,169.05738163886673,2022-09-25T01:27:35,396,23,6,0,0
0.004,5.283043176214585,2022-09-25T01:27:35,695,3,0,17,0
0.0169,22.320857419506623,2022-09-25T01:27:35,543,7,10,11,23
0.03,39.622823821609394,2022-09-25T01:27:35,586,4,7,17,20
0.0016,2.1132172704858343,2022-09-25T01:27:47,1027,6,10,17,8
0.0027,3.566054143944845,2022-09-25T01:28:11,639,21,0,4,0
0.0025,3.301901985134116,2022-09-25T01:28:11,639,4,0,12,22
0.0041,5.41511925561995,2022-09-25T01:28:11,645,4,6,12,17
0.0099,13.0755318611311,2022-09-25T01:28:35,56,23,0,9,16
0.0,0.0,2022-09-25T01:28:47,88,0,0,16,16
0.0169,22.320857419506623,2022-09-25T01:28:47,543,0,7,16,9
0.001899,2.5081247479078743,2022-09-25T01:28:47,349,4,7,17,10
0.18,237.73694292965635,2022-09-25T01:28:47,324,23,6,0,16
0.0066,8.717021240754066,2022-09-25T01:28:59,619,15,7,11,12
0.03,39.622823821609394,2022-09-25T01:28:59,148,15,16,18,3
0.1444,190.71785866134653,2022-09-25T01:29:11,515,13,0,0,16
0.0568,75.01921310224712,2022-09-25T01:29:23,952,0,6,0,8
0.0169,22.320857419506623,2022-09-25T01:29:35,543,3,10,13,9
0.0169,22.320857419506623,2022-09-25T01:30:11,543,5,7,11,23
0.0445,58.77385533538727,2022-09-25T01:30:11,295,7,1,21,7
8.8e-05,0.1162269498767208,2022-09-25T01:30:23,727,5,9,10,16
0.0185,24.434074689992457,2022-09-25T01:30:35,283,22,0,16,20
0.0888,117.2835585119638,2022-09-25T01:30:47,954,18,6,16,0
0.0169,22.320857419506623,2022-09-25T01:30:59,543,5,7,11,26
0.01,13.207607940536464,2022-09-25T01:31:23,185,16,0,0,0
0.1,132.07607940536465,2022-09-25T01:31:23,623,15,13,18,1
0.26,343.3978064539481,2022-09-25T01:31:23,112,0,6,0,6
0.009,11.886847146482818,2022-09-25T01:31:47,458,20,18,18,5
0.0169,22.320857419506623,2022-09-25T01:32:23,543,0,7,11,8
0.0336,44.37756268020252,2022-09-25T01:32:23,808,20,11,7,20
0.0023,3.037749826323387,2022-09-25T01:32:47,356,15,9,11,16
0.0058,7.660412605511149,2022-09-25T01:32:59,738,11,6,4,16
0.0,0.0,2022-09-25T01:33:11,502,17,12,19,1
0.0169,22.320857419506623,2022-09-25T01:33:11,543,7,6,11,26
0.0059,7.792488684916513,2022-09-25T01:33:47,339,4,13,20,16
0.005,6.603803970268232,2022-09-25T01:33:47,320,14,18,2,4
0.0025,3.301901985134116,2022-09-25T01:33:47,334,20,6,10,16
0.0,0.0,2022-09-25T01:34:11,615,1,6,0,17
3.3,4358.510620377033,2022-09-25T01:34:11,347,3,15,17,23
0.02,26.41521588107293,2022-09-25T01:34:11,888,0,0,0,16
0.0139,18.358575037345684,2022-09-25T01:34:11,283,19,0,0,16
