contract_type,contract_address,token_id,asset_type,price,price_usd,marketplace,transaction_date,chain,attributes
ERC721,0x710c6f24955d70b1ec188bba986a83e2d3a49d38,690,ETH,0.02,37.96782742129939,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'Background', 'value': 'Squiggle Blue'}, {'trait_type': 'Carpet', 'value': 'Earth Hide'}, {'trait_type': 'Hole', 'value': 'Teeth'}, {'trait_type': 'Pupils', 'value': 'Eyes'}, {'trait_type': 'Top Up', 'value': 'Dragon'}, {'trait_type': 'Splooge', 'value': 'Kidney River'}]"
ERC721,0x4ad3785ec7eed7589fa86538244a4530f962434f,4476,ETH,0.071,134.78578734561285,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'Version', 'value': 'Genesis'}, {'trait_type': 'Background', 'value': 'Stratus'}, {'trait_type': 'Land', 'value': 'Grass'}, {'trait_type': 'Summoning Stone', 'value': 'Epic'}]"
ERC721,0x8ea2161468b6615888f1bffe21788f88202ef848,9318,ETH,0.0078,14.807452694306763,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'Background', 'value': 'Theta Librae'}, {'trait_type': 'Glow', 'value': 'Amethyst'}, {'trait_type': 'UFOs', 'value': 'The Bloody Magician'}]"
ERC721,0x83f4aa8f9ef2e44ac8a6d44762ebc4d7f01f0d5e,922,ETH,0.0028,5.3154958389819145,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'Backgrounds', 'value': 'DarkBlue'}, {'trait_type': 'Body', 'value': 'Blue'}, {'trait_type': 'Eyes', 'value': 'Blindfold'}, {'trait_type': 'Clothing', 'value': 'Toga'}, {'trait_type': 'Beaks', 'value': 'Rainbow'}, {'trait_type': 'Hats', 'value': 'Japandana'}]"
ERC721,0xdcb1cdfe2b5f592e7bdc2696b7a68c6e866c4cc2,1727,ETH,0.01,18.983913710649695,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'Body', 'value': 'Fungus Green Body'}, {'trait_type': 'Clothes', 'value': 'Logan Fail'}, {'trait_type': 'Crapgrounds', 'value': 'Pothole'}, {'trait_type': 'Hat', 'value': ""Bad Acid Captain's Hat""}, {'trait_type': 'Head', 'value': 'Mildew Green Skull Head'}, {'trait_type': 'Left Eye', 'value': 'Left Serpent Eye'}, {'trait_type': 'Mouth', 'value': 'Stinkmouth'}, {'trait_type': 'Mouth Accessories', 'value': 'Mucky Pipe'}, {'trait_type': 'Nose', 'value': 'Pull Tab'}, {'trait_type': 'Right Eye', 'value': 'Right Glitched Reality Eye'}]"
ERC721,0x01a6fa5769b13302e82f1385e18baef7e913d0a7,103,ETH,0.005,9.491956855324847,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'Background', 'value': 'Orange'}, {'trait_type': 'Body', 'value': 'Grey'}, {'trait_type': 'Bodywear', 'value': 'Grey Blazer'}, {'trait_type': 'Headwear', 'value': 'Pink Mohawk'}, {'trait_type': 'Head', 'value': 'Battle Ready'}]"
ERC721,0x111508edbeb2e906a40fd92e8b4cfaffc606c6dd,1116,ETH,0.01369,25.98897786987943,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'background', 'value': 'normal'}, {'trait_type': 'eyes', 'value': 'happy'}, {'trait_type': 'mouth', 'value': 'dizzy'}, {'trait_type': 'morphed?', 'value': 'morphed'}]"
ERC721,0x615db11cd58b40edc9c15529b7820cc1f59b7056,551,ETH,0.0075,14.237935282987271,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'background', 'value': 'Prince'}, {'trait_type': 'background color', 'value': 'Pink'}, {'trait_type': 'weapon', 'value': 'Sweeper Of Pacheco'}, {'trait_type': 'weapon color', 'value': 'Cian'}, {'trait_type': 'head', 'value': 'Jack'}, {'trait_type': 'head color', 'value': 'Green'}, {'trait_type': 'skin', 'value': 'Work Gloves'}, {'trait_type': 'skin color', 'value': 'Purple'}, {'trait_type': 'suit', 'value': 'Elegant'}, {'trait_type': 'suit color', 'value': 'Grey'}, {'trait_type': 'accessory', 'value': 'Stick'}, {'trait_type': 'accessory color', 'value': 'Green'}, {'trait_type': 'hat', 'value': 'Trick Or Treat'}, {'trait_type': 'hat color', 'value': 'Purple'}]"
ERC721,0x111508edbeb2e906a40fd92e8b4cfaffc606c6dd,1870,ETH,0.016,30.374261937039513,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'background', 'value': 'fairy'}, {'trait_type': 'eyes', 'value': 'dot'}, {'trait_type': 'mouth', 'value': 'awkward smile'}, {'trait_type': 'morphed?', 'value': 'morphed'}]"
ERC721,0x7ab062f22b119cd97fb6dbcc99782724dd4a9c81,818,ETH,0.0138,26.19780092069658,opensea,2022-08-17T03:08:05,ethereum,"[{'trait_type': 'Background', 'value': 'GREEN'}, {'trait_type': 'Back Prop', 'value': 'TREE BLACK'}, {'trait_type': 'Grave Stone', 'value': 'GM'}, {'trait_type': 'Mouth', 'value': 'CLENCHED'}, {'trait_type': 'Eyes', 'value': 'BIG'}, {'trait_type': 'Front Prop', 'value': 'FRENEMY'}, {'trait_type': 'Companion', 'value': 'SHLEEPY'}]"
