price_eth,price_usd,transaction_date,seller_address,background,eyes,body,mouth,head,clothes,hair
0.0,0.0,2022-09-18T06:25:11,0xd9a02db049e1d875bf9e72ecc607dea6d8d4edea,,,,,,,
0.0,0.0,2022-09-18T06:25:11,0x5438f01ebba17c7ee279af990d0a8a02267833e4,,spider (mythic),cow,pipe,,,
0.0,0.0,2022-09-18T06:25:11,0x9c02f81016136d69656ddec74f7bec54413de1c0,,,,,,,
0.0,0.0,2022-09-18T06:25:11,0x68d999feb381e991a389a0839bc53b70046cb60d,light blue,closed,bored motor corp 14,pizza,,,
0.0,0.0,2022-09-18T06:25:11,0x85d50139a55d61748845736b859c882baa8cbcdb,,scientist,,meh,,,
0.002,2.9166894826207295,2022-09-18T06:25:11,0xb366c83f5a37494727efc1d1c9dd8eab068487cd,red,closed,,bored,hippie hair,gym tee,
0.001388,2.024182500938786,2022-09-18T06:25:11,0x8255f1b962eafe48a384d7e0a5c97c20a9c07ceb,,,,,,,
0.0017,2.47918606022762,2022-09-18T06:25:11,0xc24e31d9ab12c9109b1f7c132c87e28789ac4531,,,,,,,
0.001388,2.024182500938786,2022-09-18T06:25:11,0xca9fd852a9befe4d07df4fa292d5d68b7ef11b7d,,,,,,,
0.029,42.291997498000576,2022-09-18T06:25:11,0x3e5d7f4245fb0b5fccd9c4aaa506b52de2289e6b,,,,,,,
0.001388,2.024182500938786,2022-09-18T06:25:11,0xfb352f637f0c77db170647a5ef6e6544a98c8a8b,,,,,,,
0.0011,1.6041792154414012,2022-09-18T06:25:11,0xc57170ed560f4b48b5c1a0f1935487b7f4e14d8d,,,,,,,
0.0275,40.10448038603503,2022-09-18T06:25:11,0x6494ec0a65a81f2af6a560f9e511f68420bb30de,,,,,,,
0.0,0.0,2022-09-18T06:25:23,0xb6ee6f13d8e6635f3e47796c56eab15898f57e34,,enough for today,,scream,,,
0.0278,40.541983808428135,2022-09-18T06:25:23,0x6eef09b526d883f98762a7005fabd2c800dfca44,,,,,,,
0.16,233.33515860965835,2022-09-18T06:25:23,0x85d50139a55d61748845736b859c882baa8cbcdb,,deal with it,,happy,,,
0.0299,43.6045077651799,2022-09-18T06:25:23,0xd5c544e7fd5e2b6b87feb962cc1e61a6f85db070,cool gray,tired,,long stubble,,straw poncho,brown long
0.02,29.166894826207294,2022-09-18T06:25:23,0xdf21c38deadce531a91baaef0f70aa7c96cfb27b,,,,,,,
0.0,0.0,2022-09-18T06:25:35,0x97a782b3c06cc2e86a33c8b4e1a6402aa51d5e29,crystal playground,blackout,,shadow,shadow,,
0.3,437.5034223931094,2022-09-18T06:25:35,0x8f2c951926c62fe0e5382c3d5f79afc81c559829,,,,,,,
0.023,33.541929050138386,2022-09-18T06:25:35,0x9405d755357932339c385ecaf929bdadc35055ef,,,,,,,
0.015,21.87517111965547,2022-09-18T06:25:35,0x9bbe0d807faabb6fcda51884f3b18f94417b65da,,,mystery,,,,
0.0,0.0,2022-09-18T06:25:47,0xe8b8febd75aadb85df33ade6e7fa261093959c5d,blue_background,,,,,,
0.0249,36.31278405862808,2022-09-18T06:25:47,0xf2f86e38cbaaa74b0f1c3b9895cc28959a7a4385,,,,,,,
0.02,29.166894826207294,2022-09-18T06:25:47,0xdf21c38deadce531a91baaef0f70aa7c96cfb27b,,,,,,,
0.0252,36.75028748102119,2022-09-18T06:25:47,0x6eef09b526d883f98762a7005fabd2c800dfca44,,,,,,,
0.025,36.45861853275912,2022-09-18T06:25:47,0x568d19f28d550127577f3c371fc22a5514054968,,,,,,,
0.0244,35.5836116879729,2022-09-18T06:25:47,0xc962c21c9f096e6ca9da5d32edc0fc6211887688,,,,,,,
0.159,231.876813868348,2022-09-18T06:25:47,0x39ef451ec4344a4b5a7effc31b85547d14350523,,deal with it,,meh,,,
0.0244,35.5836116879729,2022-09-18T06:25:47,0xb2c03f8487e096da429a5f8315086ef03eb37ead,,,,,,,
0.025,36.45861853275912,2022-09-18T06:29:35,0x25699fd4882257697a36284b5b39c1fc3ffd4212,orange,chillin,shiba,gas mask skull,,red jacket,
0.0,0.0,2022-09-18T06:29:47,0xbc5e0726a49d7eff356bfbd2b91b24dd612b0533,night garden,,block,,black block,,
0.0039,5.6875444911104225,2022-09-18T06:29:47,0xa7c60a125cefc0054aac70fc5594084e4f8e9b0c,pink rain,crying,bone akita,standard,,red cloak,pompadour
1.759,2565.2283999649317,2022-09-18T06:29:47,0xf492b9f291da5141c082e105d752862fc6d21a9f,bamboo garden,purple spirit,emerald,,sapphire,,
0.0273,39.81281143777296,2022-09-18T06:29:59,0x4434f86c615731733337f6fb02c5aa9767149a30,,,,,,,
0.4,583.3378965241459,2022-09-18T06:29:59,0x226f20d97b8b911ba6feeac8452783b91c1d21ea,,,,,,,
0.0,0.0,2022-09-18T06:30:11,0xb1bf41ec21111c6542bf618a38182645f2e0933d,night smoke,focus,,cocky grin,shadow,demon armour,
0.009,13.125102671793282,2022-09-18T06:30:11,0x55e65f2267a86ccc882d1e5977b57bc3c02ffff7,grey_background,,,,,,
0.00785,11.448006219286363,2022-09-18T06:30:11,0x5a8219bd0e75eb9a0ba61d9c4d1e633cfbde7a74,lime,wink,bored delinquent 5,surprised,,,
0.05,72.91723706551824,2022-09-18T06:30:11,0xf103ea2f9f478134fefe8c9b6df6140739f36773,teal,winkwink,bodymidtan,,,,cap
0.005,7.2917237065518234,2022-09-18T06:30:11,0xf1554f2c56014c1c449ecc52ec3843e989fc1522,american blue,eyeliner,burgundy,biting bitcoin,,gold jacket,
0.027,39.375308015379844,2022-09-18T06:30:11,0x6eef09b526d883f98762a7005fabd2c800dfca44,,,,,,,
0.0035,5.104206594586277,2022-09-18T06:30:11,0x2898e59e60db30f4a9d79d2c79b27428ddcf77f7,denim,gold 3d glasses,,ethereum coin,nftigz hat,nothing,
0.0028,4.0833652756690215,2022-09-18T06:30:23,0xb18a9c3cd49855d15bc22b9960813336d37d2c54,lime,wink,bored samurai 2,smoke,,,
0.0269,39.22947354124881,2022-09-18T06:30:23,0x8023e8852ec29357e35f1ce8c47cea0542b45418,,,,,,,
0.0048,7.0000547582897505,2022-09-18T06:30:23,0xc772b1b58f4561f77da2d5f0de46808f6e9f2354,green,3d,bored motor corp 8,diamond,,,
0.0309,45.062852506490266,2022-09-18T06:30:23,0xa2dd0745cc5157626c659f1173330de8492a0c3a,,,,,,,
0.0001,0.14583447413103648,2022-09-18T06:30:47,0x9061b1c3c257e0bec68c210fc15e4f4ee27ecb3c,,,,,,,
0.03,43.75034223931094,2022-09-18T06:30:47,0xa90ef34b3ef9ffdda411beef606c21d8e7c27b36,,,,,,,
0.00785,11.448006219286363,2022-09-18T06:30:47,0x5a8219bd0e75eb9a0ba61d9c4d1e633cfbde7a74,light blue,cry,bored samurai 8,golden,,,
0.03,43.75034223931094,2022-09-18T06:30:47,0xa90ef34b3ef9ffdda411beef606c21d8e7c27b36,,,,,,,
